Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product,Price_per_Unit,Units_Sold,Total_Sales,Operating_Profit,Operating_Margin,Sales_Method
Walmart,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,70,975,"$68,250.00","$17,062.50",25%,Outlet
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,65,1200,"$78,000.00","$39,000.00",50%,Outlet
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,"$55,000.00","$16,500.00",30%,Outlet
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,55,950,"$52,250.00","$18,287.50",35%,Outlet
Walmart,1185732,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,55,900,"$49,500.00","$17,325.00",35%,Outlet
Walmart,1185732,5/7/2020,Northeast,New York,New York,Men's Apparel,65,900,"$58,500.00","$17,550.00",30%,Outlet
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,70,1000,"$70,000.00","$17,500.00",25%,Outlet
Sports Direct,1197831,7/19/2020,Northeast,New York,New York,Men's Street Footwear,25,900,"$22,500.00","$7,875.00",35%,Outlet
Sports Direct,1197831,7/20/2020,Northeast,New York,New York,Men's Athletic Footwear,35,900,"$31,500.00","$11,025.00",35%,Outlet
Sports Direct,1197831,7/21/2020,Northeast,New York,New York,Women's Street Footwear,35,700,"$24,500.00","$8,575.00",35%,Outlet
Sports Direct,1197831,7/22/2020,Northeast,New York,New York,Women's Athletic Footwear,35,700,"$24,500.00","$11,025.00",45%,Outlet
Sports Direct,1197831,7/23/2020,South,Texas,Houston,Men's Apparel,40,550,"$22,000.00","$6,600.00",30%,Outlet
Sports Direct,1197831,7/24/2020,South,Texas,Houston,Women's Apparel,35,700,"$24,500.00","$12,250.00",50%,Outlet
Sports Direct,1197831,7/25/2020,South,Texas,Houston,Men's Street Footwear,25,850,"$21,250.00","$7,437.50",35%,Outlet
Sports Direct,1197831,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,35,850,"$29,750.00","$10,412.50",35%,Outlet
Sports Direct,1197831,7/27/2020,South,Texas,Houston,Women's Street Footwear,35,675,"$23,625.00","$8,268.75",35%,Outlet
Sports Direct,1197831,7/28/2020,South,Texas,Houston,Women's Athletic Footwear,35,625,"$21,875.00","$9,843.75",45%,Outlet
Sports Direct,1197831,7/29/2020,South,Texas,Houston,Men's Apparel,40,500,"$20,000.00","$6,000.00",30%,Outlet
Sports Direct,1197831,7/30/2020,South,Texas,Houston,Women's Apparel,35,700,"$24,500.00","$12,250.00",50%,Outlet
Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,30,875,"$26,250.00","$9,187.50",35%,Outlet
Sports Direct,1197831,8/1/2020,South,Texas,Houston,Men's Athletic Footwear,40,875,"$35,000.00","$12,250.00",35%,Outlet
Sports Direct,1197831,8/2/2020,South,Texas,Houston,Women's Street Footwear,35,700,"$24,500.00","$8,575.00",35%,Outlet
Sports Direct,1197831,8/3/2020,South,Texas,Houston,Women's Athletic Footwear,40,600,"$24,000.00","$10,800.00",45%,Outlet
Sports Direct,1197831,8/4/2020,South,Texas,Houston,Men's Apparel,45,500,"$22,500.00","$6,750.00",30%,Outlet
Sports Direct,1197831,8/5/2020,South,Texas,Houston,Women's Apparel,40,650,"$26,000.00","$13,000.00",50%,Outlet
Sports Direct,1197831,8/6/2020,South,Texas,Houston,Men's Street Footwear,30,900,"$27,000.00","$9,450.00",35%,Outlet
Sports Direct,1197831,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,40,900,"$36,000.00","$12,600.00",35%,Outlet
Sports Direct,1197831,8/8/2020,South,Texas,Houston,Women's Street Footwear,35,725,"$25,375.00","$8,881.25",35%,Outlet
Sports Direct,1197831,8/9/2020,South,Texas,Houston,Women's Athletic Footwear,40,625,"$25,000.00","$11,250.00",45%,Outlet
Walmart,1197831,8/10/2020,South,Texas,Houston,Men's Apparel,45,525,"$23,625.00","$7,087.50",30%,Outlet
Walmart,1197831,8/11/2020,South,Texas,Houston,Women's Apparel,40,800,"$32,000.00","$16,000.00",50%,Outlet
Walmart,1197831,8/12/2020,South,Texas,Houston,Men's Street Footwear,30,925,"$27,750.00","$9,712.50",35%,Outlet
Walmart,1197831,8/13/2020,South,Texas,Houston,Men's Athletic Footwear,40,925,"$37,000.00","$12,950.00",35%,Outlet
Walmart,1197831,8/14/2020,South,Texas,Houston,Women's Street Footwear,35,775,"$27,125.00","$9,493.75",35%,Outlet
Walmart,1197831,8/15/2020,South,Texas,Houston,Women's Athletic Footwear,40,700,"$28,000.00","$12,600.00",45%,Outlet
Walmart,1197831,8/16/2020,South,Texas,Houston,Men's Apparel,45,600,"$27,000.00","$8,100.00",30%,Outlet
Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,40,950,"$38,000.00","$19,000.00",50%,Outlet
Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,40,950,"$38,000.00","$13,300.00",35%,Outlet
Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,45,950,"$42,750.00","$14,962.50",35%,Outlet
Walmart,1197831,8/20/2020,South,Texas,Houston,Women's Street Footwear,40,800,"$32,000.00","$11,200.00",35%,Outlet
Walmart,1197831,8/21/2020,South,Texas,Houston,Women's Athletic Footwear,40,750,"$30,000.00","$13,500.00",45%,Outlet
Walmart,1197831,8/22/2020,South,Texas,Houston,Men's Apparel,45,650,"$29,250.00","$8,775.00",30%,Outlet
Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,50,1000,"$50,000.00","$25,000.00",50%,Outlet
Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,40,950,"$38,000.00","$13,300.00",35%,Outlet
Walmart,1197831,8/25/2020,South,Texas,Houston,Men's Athletic Footwear,45,950,"$42,750.00","$14,962.50",35%,Outlet
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,40,1100,"$44,000.00","$15,400.00",35%,Outlet
Walmart,1197831,8/27/2020,South,Texas,Houston,Women's Athletic Footwear,40,700,"$28,000.00","$12,600.00",45%,Outlet
Walmart,1197831,8/28/2020,South,Texas,Houston,Men's Apparel,45,700,"$31,500.00","$9,450.00",30%,Outlet
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,50,975,"$48,750.00","$24,375.00",50%,Outlet
Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,40,925,"$37,000.00","$12,950.00",35%,Outlet
Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,45,925,"$41,625.00","$14,568.75",35%,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,40,1100,"$44,000.00","$15,400.00",35%,Outlet
Walmart,1197831,9/2/2020,South,Texas,Houston,Women's Athletic Footwear,40,650,"$26,000.00","$11,700.00",45%,Outlet
Walmart,1197831,9/3/2020,South,Texas,Houston,Men's Apparel,45,650,"$29,250.00","$8,775.00",30%,Outlet
Walmart,1197831,9/4/2020,South,Texas,Houston,Women's Apparel,50,900,"$45,000.00","$22,500.00",50%,Outlet
Walmart,1197831,9/5/2020,South,Texas,Houston,Men's Street Footwear,45,850,"$38,250.00","$13,387.50",35%,Outlet
Walmart,1197831,9/6/2020,South,Texas,Houston,Men's Athletic Footwear,45,850,"$38,250.00","$13,387.50",35%,Outlet
Walmart,1197831,9/7/2020,South,Texas,Houston,Women's Street Footwear,50,900,"$45,000.00","$15,750.00",35%,Outlet
Walmart,1197831,9/8/2020,South,Texas,Houston,Women's Athletic Footwear,50,625,"$31,250.00","$14,062.50",45%,Outlet
Walmart,1197831,9/9/2020,South,Texas,Houston,Men's Apparel,45,625,"$28,125.00","$8,437.50",30%,Outlet
Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,55,850,"$46,750.00","$23,375.00",50%,Outlet
Walmart,1197831,9/11/2020,South,Texas,Houston,Men's Street Footwear,45,800,"$36,000.00","$12,600.00",35%,Outlet
Walmart,1197831,9/12/2020,South,Texas,Houston,Men's Athletic Footwear,45,800,"$36,000.00","$12,600.00",35%,Outlet
Walmart,1197831,9/13/2020,South,Texas,Houston,Women's Street Footwear,50,750,"$37,500.00","$13,125.00",35%,Outlet
Walmart,1197831,9/14/2020,South,Texas,Houston,Women's Athletic Footwear,50,600,"$30,000.00","$13,500.00",45%,Outlet
Walmart,1197831,9/15/2020,South,Texas,Houston,Men's Apparel,45,575,"$25,875.00","$7,762.50",30%,Outlet
Walmart,1197831,9/16/2020,South,Texas,Houston,Women's Apparel,55,750,"$41,250.00","$20,625.00",50%,Outlet
Walmart,1197831,10/20/2020,South,Texas,Houston,Men's Street Footwear,45,900,"$40,500.00","$14,175.00",35%,Outlet
Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,45,900,"$40,500.00","$14,175.00",35%,Outlet
Walmart,1197831,10/22/2020,South,Texas,Houston,Women's Street Footwear,50,825,"$41,250.00","$14,437.50",35%,Outlet
Walmart,1197831,10/23/2020,South,Texas,Houston,Women's Athletic Footwear,50,675,"$33,750.00","$15,187.50",45%,Outlet
Walmart,1197831,10/24/2020,South,Texas,Houston,Men's Apparel,45,650,"$29,250.00","$8,775.00",30%,Outlet
Walmart,1197831,10/25/2020,South,Texas,Houston,Women's Apparel,55,850,"$46,750.00","$23,375.00",50%,Outlet
Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,45,950,"$42,750.00","$14,962.50",35%,Outlet
Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,45,950,"$42,750.00","$14,962.50",35%,Outlet
Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,50,850,"$42,500.00","$14,875.00",35%,Outlet
Walmart,1197831,10/29/2020,South,Texas,Houston,Women's Athletic Footwear,50,700,"$35,000.00","$15,750.00",45%,Outlet
Walmart,1197831,10/30/2020,South,Texas,Houston,Men's Apparel,45,650,"$29,250.00","$8,775.00",30%,Outlet
Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,55,900,"$49,500.00","$24,750.00",50%,Outlet
West Gear,1128299,11/1/2020,South,Texas,Houston,Men's Street Footwear,40,775,"$31,000.00","$10,850.00",35%,Outlet
West Gear,1128299,11/2/2020,South,Texas,Houston,Men's Athletic Footwear,50,775,"$38,750.00","$7,750.00",20%,Outlet
West Gear,1128299,11/3/2020,South,Texas,Houston,Women's Street Footwear,50,775,"$38,750.00","$13,562.50",35%,Outlet
West Gear,1128299,11/4/2020,South,Texas,Houston,Women's Athletic Footwear,50,625,"$31,250.00","$9,375.00",30%,Outlet
West Gear,1128299,11/5/2020,West,California,San Francisco,Men's Apparel,55,575,"$31,625.00","$15,812.50",50%,Outlet
West Gear,1128299,11/6/2020,West,California,San Francisco,Women's Apparel,50,775,"$38,750.00","$5,812.50",15%,Outlet
West Gear,1128299,11/7/2020,West,California,San Francisco,Men's Street Footwear,40,825,"$33,000.00","$11,550.00",35%,Outlet
West Gear,1128299,11/8/2020,West,California,San Francisco,Men's Athletic Footwear,50,725,"$36,250.00","$7,250.00",20%,Outlet
West Gear,1128299,11/9/2020,West,California,San Francisco,Women's Street Footwear,50,725,"$36,250.00","$12,687.50",35%,Outlet
West Gear,1128299,11/10/2020,West,California,San Francisco,Women's Athletic Footwear,50,575,"$28,750.00","$8,625.00",30%,Outlet
West Gear,1128299,11/11/2020,West,California,San Francisco,Men's Apparel,55,500,"$27,500.00","$13,750.00",50%,Outlet
West Gear,1128299,11/12/2020,West,California,San Francisco,Women's Apparel,50,700,"$35,000.00","$5,250.00",15%,Outlet
West Gear,1128299,11/13/2020,West,California,San Francisco,Men's Street Footwear,50,850,"$42,500.00","$14,875.00",35%,Outlet
West Gear,1128299,11/14/2020,West,California,San Francisco,Men's Athletic Footwear,60,700,"$42,000.00","$8,400.00",20%,Outlet
West Gear,1128299,11/15/2020,West,California,San Francisco,Women's Street Footwear,60,700,"$42,000.00","$14,700.00",35%,Outlet
West Gear,1128299,12/22/2020,West,California,San Francisco,Women's Athletic Footwear,60,600,"$36,000.00","$10,800.00",30%,Outlet
West Gear,1128299,12/23/2020,West,California,San Francisco,Men's Apparel,65,500,"$32,500.00","$16,250.00",50%,Outlet
West Gear,1128299,12/24/2020,West,California,San Francisco,Women's Apparel,60,700,"$42,000.00","$6,300.00",15%,Outlet
West Gear,1128299,12/25/2020,West,California,San Francisco,Men's Street Footwear,60,875,"$52,500.00","$18,375.00",35%,Outlet
West Gear,1128299,12/26/2020,West,California,San Francisco,Men's Athletic Footwear,65,675,"$43,875.00","$8,775.00",20%,Outlet
West Gear,1128299,12/27/2020,West,California,San Francisco,Women's Street Footwear,65,725,"$47,125.00","$16,493.75",35%,Outlet
West Gear,1128299,12/28/2020,West,California,San Francisco,Women's Athletic Footwear,60,625,"$37,500.00","$11,250.00",30%,Outlet
West Gear,1128299,12/29/2020,West,California,San Francisco,Men's Apparel,65,525,"$34,125.00","$17,062.50",50%,Outlet
West Gear,1128299,12/30/2020,West,California,San Francisco,Women's Apparel,80,700,"$56,000.00","$8,400.00",15%,Outlet
West Gear,1128299,12/31/2020,West,California,San Francisco,Men's Street Footwear,60,900,"$54,000.00","$21,600.00",40%,Outlet
West Gear,1128299,1/1/2021,West,California,San Francisco,Men's Athletic Footwear,65,750,"$48,750.00","$12,187.50",25%,Outlet
West Gear,1128299,1/2/2021,West,California,San Francisco,Women's Street Footwear,65,750,"$48,750.00","$19,500.00",40%,Outlet
West Gear,1128299,1/3/2021,West,California,San Francisco,Women's Athletic Footwear,60,650,"$39,000.00","$13,650.00",35%,Outlet
West Gear,1128299,1/4/2021,West,California,San Francisco,Men's Apparel,65,550,"$35,750.00","$19,662.50",55%,Outlet
West Gear,1128299,1/5/2021,West,California,San Francisco,Women's Apparel,80,725,"$58,000.00","$11,600.00",20%,Outlet
West Gear,1128299,1/6/2021,West,California,San Francisco,Men's Street Footwear,60,975,"$58,500.00","$23,400.00",40%,Outlet
West Gear,1128299,1/7/2021,West,California,San Francisco,Men's Athletic Footwear,65,825,"$53,625.00","$13,406.25",25%,Outlet
West Gear,1128299,1/8/2021,West,California,San Francisco,Women's Street Footwear,65,825,"$53,625.00","$21,450.00",40%,Outlet
West Gear,1128299,1/9/2021,West,California,San Francisco,Women's Athletic Footwear,60,700,"$42,000.00","$14,700.00",35%,Outlet
West Gear,1128299,1/10/2021,West,California,San Francisco,Men's Apparel,65,575,"$37,375.00","$20,556.25",55%,Outlet
West Gear,1128299,1/11/2021,West,California,San Francisco,Women's Apparel,80,875,"$70,000.00","$14,000.00",20%,Outlet
West Gear,1128299,1/12/2021,West,California,San Francisco,Men's Street Footwear,60,1025,"$61,500.00","$21,525.00",35%,Outlet
West Gear,1128299,1/13/2021,West,California,San Francisco,Men's Athletic Footwear,65,875,"$56,875.00","$11,375.00",20%,Outlet
West Gear,1128299,1/14/2021,West,California,San Francisco,Women's Street Footwear,65,825,"$53,625.00","$18,768.75",35%,Outlet
West Gear,1128299,1/15/2021,West,California,San Francisco,Women's Athletic Footwear,60,725,"$43,500.00","$13,050.00",30%,Outlet
West Gear,1128299,1/16/2021,West,California,San Francisco,Men's Apparel,65,775,"$50,375.00","$25,187.50",50%,Outlet
West Gear,1128299,1/17/2021,West,California,San Francisco,Women's Apparel,80,775,"$62,000.00","$9,300.00",15%,Outlet
West Gear,1128299,1/18/2021,West,California,San Francisco,Men's Street Footwear,65,975,"$63,375.00","$22,181.25",35%,Outlet
West Gear,1128299,1/19/2021,West,California,San Francisco,Men's Athletic Footwear,70,925,"$64,750.00","$12,950.00",20%,Outlet
West Gear,1128299,1/20/2021,West,California,San Francisco,Women's Street Footwear,65,800,"$52,000.00","$18,200.00",35%,Outlet
West Gear,1128299,1/21/2021,West,California,San Francisco,Women's Athletic Footwear,65,750,"$48,750.00","$14,625.00",30%,Outlet
West Gear,1128299,1/22/2021,West,California,San Francisco,Men's Apparel,75,750,"$56,250.00","$28,125.00",50%,Outlet
West Gear,1128299,1/23/2021,West,California,San Francisco,Women's Apparel,80,725,"$58,000.00","$8,700.00",15%,Outlet
West Gear,1128299,1/24/2021,West,California,San Francisco,Men's Street Footwear,55,925,"$50,875.00","$15,262.50",30%,Outlet
West Gear,1128299,1/25/2021,West,California,San Francisco,Men's Athletic Footwear,60,925,"$55,500.00","$8,325.00",15%,Outlet
West Gear,1128299,1/26/2021,West,California,San Francisco,Women's Street Footwear,55,775,"$42,625.00","$12,787.50",30%,Outlet
West Gear,1128299,1/27/2021,West,California,San Francisco,Women's Athletic Footwear,55,725,"$39,875.00","$9,968.75",25%,Outlet
West Gear,1128299,1/28/2021,West,California,San Francisco,Men's Apparel,65,725,"$47,125.00","$21,206.25",45%,Outlet
West Gear,1128299,1/29/2021,West,California,San Francisco,Women's Apparel,70,775,"$54,250.00","$5,425.00",10%,Outlet
West Gear,1128299,1/30/2021,West,California,San Francisco,Men's Street Footwear,55,875,"$48,125.00","$14,437.50",30%,Outlet
West Gear,1128299,1/31/2021,West,California,San Francisco,Men's Athletic Footwear,60,875,"$52,500.00","$7,875.00",15%,Outlet
West Gear,1128299,2/1/2021,West,California,San Francisco,Women's Street Footwear,55,700,"$38,500.00","$11,550.00",30%,Outlet
West Gear,1128299,2/2/2021,West,California,San Francisco,Women's Athletic Footwear,55,675,"$37,125.00","$9,281.25",25%,Outlet
West Gear,1128299,2/3/2021,West,California,San Francisco,Men's Apparel,65,650,"$42,250.00","$19,012.50",45%,Outlet
West Gear,1128299,2/4/2021,West,California,San Francisco,Women's Apparel,70,700,"$49,000.00","$4,900.00",10%,Outlet
West Gear,1128299,2/5/2021,West,California,San Francisco,Men's Street Footwear,55,875,"$48,125.00","$14,437.50",30%,Outlet
West Gear,1128299,2/6/2021,West,California,San Francisco,Men's Athletic Footwear,60,875,"$52,500.00","$7,875.00",15%,Outlet
West Gear,1128299,2/7/2021,West,California,San Francisco,Women's Street Footwear,55,725,"$39,875.00","$11,962.50",30%,Outlet
West Gear,1128299,2/8/2021,West,California,San Francisco,Women's Athletic Footwear,55,700,"$38,500.00","$9,625.00",25%,Outlet
West Gear,1128299,2/9/2021,West,California,San Francisco,Men's Apparel,65,650,"$42,250.00","$19,012.50",45%,Outlet
West Gear,1128299,2/10/2021,West,California,San Francisco,Women's Apparel,70,775,"$54,250.00","$5,425.00",10%,Outlet
West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,55,975,"$53,625.00","$16,087.50",30%,Outlet
West Gear,1128299,2/12/2021,West,California,San Francisco,Men's Athletic Footwear,60,975,"$58,500.00","$8,775.00",15%,Outlet
West Gear,1128299,2/13/2021,West,California,San Francisco,Women's Street Footwear,55,775,"$42,625.00","$12,787.50",30%,Outlet
West Gear,1128299,2/14/2021,West,California,San Francisco,Women's Athletic Footwear,55,775,"$42,625.00","$10,656.25",25%,Outlet
West Gear,1128299,2/15/2021,West,California,San Francisco,Men's Apparel,65,700,"$45,500.00","$20,475.00",45%,Outlet
West Gear,1128299,2/16/2021,West,California,San Francisco,Women's Apparel,70,800,"$56,000.00","$5,600.00",10%,Outlet
Kohl's,1189833,2/17/2021,West,California,San Francisco,Men's Street Footwear,35,700,"$24,500.00","$9,800.00",40%,Outlet
Kohl's,1189833,2/18/2021,West,California,San Francisco,Men's Athletic Footwear,45,700,"$31,500.00","$7,875.00",25%,Outlet
Kohl's,1189833,3/9/2021,West,California,San Francisco,Women's Street Footwear,45,700,"$31,500.00","$12,600.00",40%,Outlet
Kohl's,1189833,3/10/2021,West,California,San Francisco,Women's Athletic Footwear,45,550,"$24,750.00","$8,662.50",35%,Outlet
